Año,Poblacion,Nacimientos,Muertes
1950,28296000,1174947,418430
1951,29110000,1183788,458238
1952,29980000,1195209,408823
1953,30904000,1261775,446127
1954,31880000,1339837,378752
1955,32906000,1377917,407522
1956,33978000,1427722,368740
1957,35095000,1485202,414545
1958,36253000,1447578,404529
1959,37448000,1589606,396924
1960,38677000,1608174,402545
1961,39939000,1647006,388857
1962,41234000,1705481,403046
1963,42564000,1756624,412834
1964,43931000,1849408,408275
1965,45339000,1888171,404163
1966,46784000,1954340,424141
1967,48264000,1981363,420298
1968,49788000,2058251,452910
1969,51361000,2037561,458886
1970,52988000,2132630,485656
1971,54669000,2231399,458323
1972,56396000,2346002,476206
1973,58156000,2572287,458915
1974,59931000,2522580,433104
1975,61708000,2254497,435888
1976,63486000,2366305,455660
1977,65261000,2379327,450454
1978,67013000,2346862,418381
1979,68715000,2274267,428217
1980,70353000,2446238,434465
1981,71916000,2530662,424274
1982,73416000,2392849,412345
1983,74880000,2609088,413403
1984,76351000,2511894,410550
1985,77859000,2655671,414003
1986,79410000,2577045,400079
1987,80999000,2794390,400280
1988,82635000,2622031,412987
1989,84327000,2620262,423304
1990,86077000,2735312,422803
1991,87890000,2756447,411131
1992,89758000,2797397,409814
1993,91654000,2839686,416335
1994,93542000,2904389,419074
1995,95393000,2750444,430278
1996,97202000,2707718,436321
1997,98969000,2698425,440437
1998,100679000,2668429,444665
1999,102317000,2769089,443950
2000,103874000,2798339,437667
2001,105340000,2767610,443127
2002,106724000,2699084,459687
2003,108056000,2655894,472140
2004,109382000,2625056,473417
2005,110732000,2567906,495240
2006,112117000,2505939,494471
2007,113530000,2655083,514420
2008,114968000,2636110,539530
2009,116423000,2577214,564673
2010,114255000,2643908,592018
2011,115683000,2586287,590693
2012,117054000,2498880,602354
2013,118395000,2478889,623599
2014,119713000,2463420,633641
2015,121005000,2353596,655694
